clip_id,fake_label,method,type,rel_path,filename,speaker_id
fav_id00374_id03844_00311_id03844_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/women/id00374/00311_id03844_wavtolip.mp4,00311_id03844_wavtolip.mp4,id00374
fav_id02617_id03713_00028_id03713_Tef7jjuQeXE_id05106_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/women/id02617/00028_id03713_Tef7jjuQeXE_id05106_wavtolip.mp4,00028_id03713_Tef7jjuQeXE_id05106_wavtolip.mp4,id02617
fav_id01076_id01637_00005_id01637_5VjcPZm8knM_id02342_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/men/id01076/00005_id01637_5VjcPZm8knM_id02342_wavtolip.mp4,00005_id01637_5VjcPZm8knM_id02342_wavtolip.mp4,id01076
fav_id00488_id01026_00028_id01026_rM4ZERt7oM0,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id00488/00028_id01026_rM4ZERt7oM0.mp4,00028_id01026_rM4ZERt7oM0.mp4,id00488
fav_id02464_id01216_00002_id01216_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/women/id02464/00002_id01216_wavtolip.mp4,00002_id01216_wavtolip.mp4,id02464
fav_id00863_id03965_00069_id03965_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (East)/men/id00863/00069_id03965_wavtolip.mp4,00069_id03965_wavtolip.mp4,id00863
fav_id00707_00052,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/women/id00707/00052.mp4,00052.mp4,id00707
fav_id02464_id00272_00002_id00272_VLY1boTtbRM_id03605_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/women/id02464/00002_id00272_VLY1boTtbRM_id03605_wavtolip.mp4,00002_id00272_VLY1boTtbRM_id03605_wavtolip.mp4,id02464
fav_id00270_id00042_00088_id00042_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/women/id00270/00088_id00042_wavtolip.mp4,00088_id00042_wavtolip.mp4,id00270
fav_id01076_00005,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/men/id01076/00005.mp4,00005.mp4,id01076
fav_id00709_00206,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/men/id00709/00206.mp4,00206.mp4,id00709
fav_id03668_id03678_00143_id03678_dsfCxodI9i8_faceswap_id00021_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/men/id03668/00143_id03678_dsfCxodI9i8_faceswap_id00021_wavtolip.mp4,00143_id03678_dsfCxodI9i8_faceswap_id00021_wavtolip.mp4,id03668
fav_id00020_id01182_00206_id01182_zca-PHR_U40_faceswap_id00049_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/men/id00020/00206_id01182_zca-PHR_U40_faceswap_id00049_wavtolip.mp4,00206_id01182_zca-PHR_U40_faceswap_id00049_wavtolip.mp4,id00020
fav_id00897_00005,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/women/id00897/00005.mp4,00005.mp4,id00897
fav_id00740_00015,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/men/id00740/00015.mp4,00015.mp4,id00740
fav_id01223_00255,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/women/id01223/00255.mp4,00255.mp4,id01223
fav_id00359_id02071_00053_id02071_cHuDh9F87vA,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/African/women/id00359/00053_id02071_cHuDh9F87vA.mp4,00053_id02071_cHuDh9F87vA.mp4,id00359
fav_id01392_id01598_00167_id01598_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/African/men/id01392/00167_id01598_wavtolip.mp4,00167_id01598_wavtolip.mp4,id01392
fav_id07049_00043,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/women/id07049/00043.mp4,00043.mp4,id07049
fav_id07078_id06445_00405_id06445_NWtdqOxEbDY,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id07078/00405_id06445_NWtdqOxEbDY.mp4,00405_id06445_NWtdqOxEbDY.mp4,id07078
fav_id00775_id04073_00092_id04073_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/men/id00775/00092_id04073_wavtolip.mp4,00092_id04073_wavtolip.mp4,id00775
fav_id03747_id04374_00273_id04374_SWltOOZmlWM,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/African/women/id03747/00273_id04374_SWltOOZmlWM.mp4,00273_id04374_SWltOOZmlWM.mp4,id03747
fav_id00769_id03344_00015_id03344_vyNnOo6lU0o_id04526_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/men/id00769/00015_id03344_vyNnOo6lU0o_id04526_wavtolip.mp4,00015_id03344_vyNnOo6lU0o_id04526_wavtolip.mp4,id00769
fav_id00709_id01102_00206_id01102_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/men/id00709/00206_id01102_wavtolip.mp4,00206_id01102_wavtolip.mp4,id00709
fav_id00241_id00694_00015_id00694_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/men/id00241/00015_id00694_wavtolip.mp4,00015_id00694_wavtolip.mp4,id00241
fav_id01856_id00076_00006_id00076_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/men/id01856/00006_id00076_wavtolip.mp4,00006_id00076_wavtolip.mp4,id01856
fav_id00488_00028,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/women/id00488/00028.mp4,00028.mp4,id00488
fav_id01856_00006,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/men/id01856/00006.mp4,00006.mp4,id01856
fav_id01597_id00830_00005_id00830_rfl3Teg9uew_id01530_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/men/id01597/00005_id00830_rfl3Teg9uew_id01530_wavtolip.mp4,00005_id00830_rfl3Teg9uew_id01530_wavtolip.mp4,id01597
fav_id00616_id01245_00305_id01245_7pYBPczR_z0_id01004_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/women/id00616/00305_id01245_7pYBPczR_z0_id01004_wavtolip.mp4,00305_id01245_7pYBPczR_z0_id01004_wavtolip.mp4,id00616
fav_id07463_id04562_00028_id04562_qio_Gs7wjvY_faceswap_id07233_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/men/id07463/00028_id04562_qio_Gs7wjvY_faceswap_id07233_wavtolip.mp4,00028_id04562_qio_Gs7wjvY_faceswap_id07233_wavtolip.mp4,id07463
fav_id01223_id01248_00255_id01248_2y-HnTO8WrQ,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (American)/women/id01223/00255_id01248_2y-HnTO8WrQ.mp4,00255_id01248_2y-HnTO8WrQ.mp4,id01223
fav_id00775_id00169_00092_id00169__V1xAwwG29U_id01168_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (American)/men/id00775/00092_id00169__V1xAwwG29U_id01168_wavtolip.mp4,00092_id00169__V1xAwwG29U_id01168_wavtolip.mp4,id00775
fav_id02342_00191,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/men/id02342/00191.mp4,00191.mp4,id02342
fav_id00374_00311,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/women/id00374/00311.mp4,00311.mp4,id00374
fav_id05844_id08819_00072_id08819_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (East)/women/id05844/00072_id08819_wavtolip.mp4,00072_id08819_wavtolip.mp4,id05844
fav_id00816_id06355_00118_id06355_YT0pXXvISi8,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/men/id00816/00118_id06355_YT0pXXvISi8.mp4,00118_id06355_YT0pXXvISi8.mp4,id00816
fav_id00769_00015,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/men/id00769/00015.mp4,00015.mp4,id00769
fav_id00554_id01157_00028_id01157_yDgqfOWVKko_faceswap_id00498_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/men/id00554/00028_id01157_yDgqfOWVKko_faceswap_id00498_wavtolip.mp4,00028_id01157_yDgqfOWVKko_faceswap_id00498_wavtolip.mp4,id00554
fav_id00775_00092,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/men/id00775/00092.mp4,00092.mp4,id00775
fav_id07078_id04070_00405_id04070_F3CgrqRjcgw_id04582_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/women/id07078/00405_id04070_F3CgrqRjcgw_id04582_wavtolip.mp4,00405_id04070_F3CgrqRjcgw_id04582_wavtolip.mp4,id07078
fav_id00241_00015,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/men/id00241/00015.mp4,00015.mp4,id00241
fav_id06254_id05931_00043_id05931_bFqu86NV3hk_faceswap_id00043_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/women/id06254/00043_id05931_bFqu86NV3hk_faceswap_id00043_wavtolip.mp4,00043_id05931_bFqu86NV3hk_faceswap_id00043_wavtolip.mp4,id06254
fav_id01281_00040,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id01281/00040.mp4,00040.mp4,id01281
fav_id03658_id00371_00077_id00371_t20i0HtPwW0,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/African/women/id03658/00077_id00371_t20i0HtPwW0.mp4,00077_id00371_t20i0HtPwW0.mp4,id03658
fav_id07039_00105,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id07039/00105.mp4,00105.mp4,id07039
fav_id00306_00015,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/men/id00306/00015.mp4,00015.mp4,id00306
fav_id02342_fake.mp4_00191_fake,1,rtvc,RealVideo-FakeAudio,RealVideo-FakeAudio/African/men/id02342/00191_fake.mp4,00191_fake.mp4,id02342
fav_id05931_id05478_00013_id05478_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/women/id05931/00013_id05478_wavtolip.mp4,00013_id05478_wavtolip.mp4,id05931
fav_id01239_00280,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/men/id01239/00280.mp4,00280.mp4,id01239
fav_id00816_id06355_00118_id06355_YT0pXXvISi8_id03945_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/men/id00816/00118_id06355_YT0pXXvISi8_id03945_wavtolip.mp4,00118_id06355_YT0pXXvISi8_id03945_wavtolip.mp4,id00816
fav_id00306_id01126_00015_id01126_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/men/id00306/00015_id01126_wavtolip.mp4,00015_id01126_wavtolip.mp4,id00306
fav_id04561_id07463_00248_id07463_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/men/id04561/00248_id07463_wavtolip.mp4,00248_id07463_wavtolip.mp4,id04561
fav_id06054_id06065_00010_id06065_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (East)/women/id06054/00010_id06065_wavtolip.mp4,00010_id06065_wavtolip.mp4,id06054
fav_id01392_2_00167_2_id01207_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/men/id01392/00167_2_id01207_wavtolip.mp4,00167_2_id01207_wavtolip.mp4,id01392
fav_id00270_id00262_00088_id00262_3p7sRWAAh1Q_id00484_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/women/id00270/00088_id00262_3p7sRWAAh1Q_id00484_wavtolip.mp4,00088_id00262_3p7sRWAAh1Q_id00484_wavtolip.mp4,id00270
fav_id03028_00466,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/men/id03028/00466.mp4,00466.mp4,id03028
fav_id00063_id00358_00021_id00358_vsVwGKy79kM_faceswap_id00241_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/men/id00063/00021_id00358_vsVwGKy79kM_faceswap_id00241_wavtolip.mp4,00021_id00358_vsVwGKy79kM_faceswap_id00241_wavtolip.mp4,id00063
fav_id07078_id07686_00405_id07686_lwSGz24c1Bs,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id07078/00405_id07686_lwSGz24c1Bs.mp4,00405_id07686_lwSGz24c1Bs.mp4,id07078
fav_id04540_id00832_00078_id00832_Jr4-dXRChME,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/African/women/id04540/00078_id00832_Jr4-dXRChME.mp4,00078_id00832_Jr4-dXRChME.mp4,id04540
fav_id04540_id00707_00078_id00707_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/women/id04540/00078_id00707_wavtolip.mp4,00078_id00707_wavtolip.mp4,id04540
fav_id00270_00088,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/women/id00270/00088.mp4,00088.mp4,id00270
fav_id05844_00072,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id05844/00072.mp4,00072.mp4,id05844
fav_id07078_00405,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/women/id07078/00405.mp4,00405.mp4,id07078
fav_id09125_00098,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id09125/00098.mp4,00098.mp4,id09125
fav_id05845_00027,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/women/id05845/00027.mp4,00027.mp4,id05845
fav_id04070_00072,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/women/id04070/00072.mp4,00072.mp4,id04070
fav_id02316_00094,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/men/id02316/00094.mp4,00094.mp4,id02316
fav_id02464_id01223_00002_id01223_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (American)/women/id02464/00002_id01223_wavtolip.mp4,00002_id01223_wavtolip.mp4,id02464
fav_id03205_id01052_00150_id01052_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/men/id03205/00150_id01052_wavtolip.mp4,00150_id01052_wavtolip.mp4,id03205
fav_id03205_id01098_00150_id01098_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/men/id03205/00150_id01098_wavtolip.mp4,00150_id01098_wavtolip.mp4,id03205
fav_id07463_00028,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/men/id07463/00028.mp4,00028.mp4,id07463
fav_id07078_id03815_00405_id03815_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id07078/00405_id03815_wavtolip.mp4,00405_id03815_wavtolip.mp4,id07078
fav_id00816_00118,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/men/id00816/00118.mp4,00118.mp4,id00816
fav_id03716_id03716_00040_id03716_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/women/id03716/00040_id03716_wavtolip.mp4,00040_id03716_wavtolip.mp4,id03716
fav_id00707_id02824_00052_id02824_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/women/id00707/00052_id02824_wavtolip.mp4,00052_id02824_wavtolip.mp4,id00707
fav_id01856_id00478_00006_id00478_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/African/men/id01856/00006_id00478_wavtolip.mp4,00006_id00478_wavtolip.mp4,id01856
fav_id05252_id03747_00052_id03747_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/African/women/id05252/00052_id03747_wavtolip.mp4,00052_id03747_wavtolip.mp4,id05252
fav_id04070_id06343_00072_id06343__Tf30YR4M3w_id00739_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/women/id04070/00072_id06343__Tf30YR4M3w_id00739_wavtolip.mp4,00072_id06343__Tf30YR4M3w_id00739_wavtolip.mp4,id04070
fav_id06427_id07739_00138_id07739_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (East)/women/id06427/00138_id07739_wavtolip.mp4,00138_id07739_wavtolip.mp4,id06427
fav_id09175_id09181_00072_id09181_ypUYBHscgD8,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (East)/women/id09175/00072_id09181_ypUYBHscgD8.mp4,00072_id09181_ypUYBHscgD8.mp4,id09175
fav_id01856_3.mp4_00109_3,1,faceswap,FakeVideo-RealAudio,FakeVideo-RealAudio/African/men/id01856/00109_3.mp4,00109_3.mp4,id01856
fav_id03716_id03858_00040_id03858_uKVqPfRf-ac,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/women/id03716/00040_id03858_uKVqPfRf-ac.mp4,00040_id03858_uKVqPfRf-ac.mp4,id03716
fav_id00488_id06445_00028_id06445_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id00488/00028_id06445_wavtolip.mp4,00028_id06445_wavtolip.mp4,id00488
fav_id06054_00010,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id06054/00010.mp4,00010.mp4,id06054
fav_id01597_00005,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/men/id01597/00005.mp4,00005.mp4,id01597
fav_id00270_id00633_00088_id00633_UXrTMta1EDM_faceswap_id03649_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/women/id00270/00088_id00633_UXrTMta1EDM_faceswap_id03649_wavtolip.mp4,00088_id00633_UXrTMta1EDM_faceswap_id03649_wavtolip.mp4,id00270
fav_id03658_00077,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/women/id03658/00077.mp4,00077.mp4,id03658
fav_id06427_00138,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id06427/00138.mp4,00138.mp4,id06427
fav_id00428_00017,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/women/id00428/00017.mp4,00017.mp4,id00428
fav_id00488_id03815_00028_id03815_hw41YlLps4w_id04564_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (South)/women/id00488/00028_id03815_hw41YlLps4w_id04564_wavtolip.mp4,00028_id03815_hw41YlLps4w_id04564_wavtolip.mp4,id00488
fav_id00857_00347,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/men/id00857/00347.mp4,00347.mp4,id00857
fav_id02587_00020,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id02587/00020.mp4,00020.mp4,id02587
fav_id03716_00040,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/women/id03716/00040.mp4,00040.mp4,id03716
fav_id02824_id00592_00130_id00592_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/African/women/id02824/00130_id00592_wavtolip.mp4,00130_id00592_wavtolip.mp4,id02824
fav_id05743_id02561_00015_id02561_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (East)/men/id05743/00015_id02561_wavtolip.mp4,00015_id02561_wavtolip.mp4,id05743
fav_id00374_id03371_00311_id03371_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/women/id00374/00311_id03371_wavtolip.mp4,00311_id03371_wavtolip.mp4,id00374
fav_id01239_fake.mp4_00280_fake,1,rtvc,RealVideo-FakeAudio,RealVideo-FakeAudio/Caucasian (American)/men/id01239/00280_fake.mp4,00280_fake.mp4,id01239
fav_id01717_id01452_00005_id01452_4MqeoSxSy3w_id01856_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/men/id01717/00005_id01452_4MqeoSxSy3w_id01856_wavtolip.mp4,00005_id01452_4MqeoSxSy3w_id01856_wavtolip.mp4,id01717
fav_id00270_id00365_00088_id00365_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/women/id00270/00088_id00365_wavtolip.mp4,00088_id00365_wavtolip.mp4,id00270
fav_id07739_00019,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id07739/00019.mp4,00019.mp4,id07739
fav_id01856_id00830_00006_id00830_rfl3Teg9uew,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/African/men/id01856/00006_id00830_rfl3Teg9uew.mp4,00006_id00830_rfl3Teg9uew.mp4,id01856
fav_id06054_id02587_00010_id02587_KzwJPH5_8j0_id00430_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Asian (East)/women/id06054/00010_id02587_KzwJPH5_8j0_id00430_wavtolip.mp4,00010_id02587_KzwJPH5_8j0_id00430_wavtolip.mp4,id06054
fav_id00775_id00049_00092_id00049_S_EHTUF-mQY,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (American)/men/id00775/00092_id00049_S_EHTUF-mQY.mp4,00092_id00049_S_EHTUF-mQY.mp4,id00775
fav_id06060_00219,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/women/id06060/00219.mp4,00219.mp4,id06060
fav_id03205_fake.mp4_00150_fake,1,rtvc,RealVideo-FakeAudio,RealVideo-FakeAudio/Caucasian (European)/men/id03205/00150_fake.mp4,00150_fake.mp4,id03205
fav_id01717_00005,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/men/id01717/00005.mp4,00005.mp4,id01717
fav_id04540_00078,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/women/id04540/00078.mp4,00078.mp4,id04540
fav_id06254_00043,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (South)/women/id06254/00043.mp4,00043.mp4,id06254
fav_id00775_id00020_00092_id00020_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (American)/men/id00775/00092_id00020_wavtolip.mp4,00092_id00020_wavtolip.mp4,id00775
fav_id00306_id01098_00015_id01098_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/Caucasian (European)/men/id00306/00015_id01098_wavtolip.mp4,00015_id01098_wavtolip.mp4,id00306
fav_id02824_id03747_00130_id03747_wQOOhZvnrq4_faceswap_id04245_wavtolip,1,faceswap-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/women/id02824/00130_id03747_wQOOhZvnrq4_faceswap_id04245_wavtolip.mp4,00130_id03747_wQOOhZvnrq4_faceswap_id04245_wavtolip.mp4,id02824
fav_id05743_00015,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/men/id05743/00015.mp4,00015.mp4,id05743
fav_id01156_00078,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/men/id01156/00078.mp4,00078.mp4,id01156
fav_id04245_00072,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/women/id04245/00072.mp4,00072.mp4,id04245
fav_id04540_id04939_00078_id04939_i4v2cXo9HIQ_id01907_wavtolip,1,fsgan-wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/women/id04540/00078_id04939_i4v2cXo9HIQ_id01907_wavtolip.mp4,00078_id04939_i4v2cXo9HIQ_id01907_wavtolip.mp4,id04540
fav_id03747_id03569_00273_id03569_wavtolip,1,wav2lip,FakeVideo-FakeAudio,FakeVideo-FakeAudio/African/women/id03747/00273_id03569_wavtolip.mp4,00273_id03569_wavtolip.mp4,id03747
fav_id02342_id01835_00191_id01835_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/African/men/id02342/00191_id01835_wavtolip.mp4,00191_id01835_wavtolip.mp4,id02342
fav_id01217_id03707_00005_id03707_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (American)/women/id01217/00005_id03707_wavtolip.mp4,00005_id03707_wavtolip.mp4,id01217
fav_id06269_00005,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Asian (East)/men/id06269/00005.mp4,00005.mp4,id06269
